Year,Total Expenditure,"Critical Illness rate (per 10,000 population)",Life Expectancy,Province_Alberta,Province_British Columbia,Province_Manitoba,Province_New Brunswick,Province_Newfoundland and Labrador,Province_Northwest Territories,Province_Nova Scotia,Province_Nunavut,Province_Ontario,Province_Prince Edward Island,Province_Quebec,Province_Saskatchewan,Province_Yukon
2014,3080575610,518.4,82.59,0,1,0,0,0,0,0,0,0,0,0,0,0
2015,3155578616,528.2,82.61,0,1,0,0,0,0,0,0,0,0,0,0,0
2016,3271371296,527.3,82.54,0,1,0,0,0,0,0,0,0,0,0,0,0
2017,3439008536,518.7,82.34,0,1,0,0,0,0,0,0,0,0,0,0,0
2018,3604404794,541.9,82.21,0,1,0,0,0,0,0,0,0,0,0,0,0
2019,3869512786,554.0,82.36,0,1,0,0,0,0,0,0,0,0,0,0,0
2020,4118672008,514.4,82.39,0,1,0,0,0,0,0,0,0,0,0,0,0
2021,4433456178,548.2,82.43,0,1,0,0,0,0,0,0,0,0,0,0,0
2022,5582822754,556.4,82.46,0,1,0,0,0,0,0,0,0,0,0,0,0
2023,5850329327,564.5,82.54,0,1,0,0,0,0,0,0,0,0,0,0,0
2003,481354458,442.5,80.42,0,1,0,0,0,0,0,0,0,0,0,0,0
2004,495305062,452.6,80.63,0,1,0,0,0,0,0,0,0,0,0,0,0
2005,603005507,465.1,80.76,0,1,0,0,0,0,0,0,0,0,0,0,0
2006,617550642,473.7,80.92,0,1,0,0,0,0,0,0,0,0,0,0,0
2007,599998733,498.4,81.07,0,1,0,0,0,0,0,0,0,0,0,0,0
2008,527673161,493.6,81.23,0,1,0,0,0,0,0,0,0,0,0,0,0
2009,491386124,505.5,81.49,0,1,0,0,0,0,0,0,0,0,0,0,0
2010,446932193,503.3,81.82,0,1,0,0,0,0,0,0,0,0,0,0,0
2011,516469412,516.1,82.15,0,1,0,0,0,0,0,0,0,0,0,0,0
2012,523820139,522.5,82.36,0,1,0,0,0,0,0,0,0,0,0,0,0
2013,540567935,524.6,82.47,0,1,0,0,0,0,0,0,0,0,0,0,0
2014,592715420,518.4,82.59,0,1,0,0,0,0,0,0,0,0,0,0,0
2015,621434093,528.2,82.61,0,1,0,0,0,0,0,0,0,0,0,0,0
2016,646964845,527.3,82.54,0,1,0,0,0,0,0,0,0,0,0,0,0
2017,702659825,518.7,82.34,0,1,0,0,0,0,0,0,0,0,0,0,0
2018,710236298,541.9,82.21,0,1,0,0,0,0,0,0,0,0,0,0,0
2019,696801090,554.0,82.36,0,1,0,0,0,0,0,0,0,0,0,0,0
2020,757480714,514.4,82.39,0,1,0,0,0,0,0,0,0,0,0,0,0
2021,827024253,548.2,82.43,0,1,0,0,0,0,0,0,0,0,0,0,0
2022,972880148,556.4,82.46,0,1,0,0,0,0,0,0,0,0,0,0,0
2023,1064147685,564.5,82.54,0,1,0,0,0,0,0,0,0,0,0,0,0
2003,1492638507,442.5,80.42,0,1,0,0,0,0,0,0,0,0,0,0,0
2004,1671897481,452.6,80.63,0,1,0,0,0,0,0,0,0,0,0,0,0
2005,1976520947,465.1,80.76,0,1,0,0,0,0,0,0,0,0,0,0,0
2006,2288073608,473.7,80.92,0,1,0,0,0,0,0,0,0,0,0,0,0
2007,2766961779,498.4,81.07,0,1,0,0,0,0,0,0,0,0,0,0,0
2008,3056513193,493.6,81.23,0,1,0,0,0,0,0,0,0,0,0,0,0
2009,3227125379,505.5,81.49,0,1,0,0,0,0,0,0,0,0,0,0,0
2010,3035068319,503.3,81.82,0,1,0,0,0,0,0,0,0,0,0,0,0
2011,3037319857,516.1,82.15,0,1,0,0,0,0,0,0,0,0,0,0,0
2012,3674353538,522.5,82.36,0,1,0,0,0,0,0,0,0,0,0,0,0
2013,2552841096,524.6,82.47,0,1,0,0,0,0,0,0,0,0,0,0,0
2014,2802648535,518.4,82.59,0,1,0,0,0,0,0,0,0,0,0,0,0
2015,2718710114,528.2,82.61,0,1,0,0,0,0,0,0,0,0,0,0,0
2016,2815054787,527.3,82.54,0,1,0,0,0,0,0,0,0,0,0,0,0
2017,3065003567,518.7,82.34,0,1,0,0,0,0,0,0,0,0,0,0,0
2018,3226988364,541.9,82.21,0,1,0,0,0,0,0,0,0,0,0,0,0
2019,3440969663,554.0,82.36,0,1,0,0,0,0,0,0,0,0,0,0,0
2020,3565331619,514.4,82.39,0,1,0,0,0,0,0,0,0,0,0,0,0
2021,4258453325,548.2,82.43,0,1,0,0,0,0,0,0,0,0,0,0,0
2022,4923028819,556.4,82.46,0,1,0,0,0,0,0,0,0,0,0,0,0
2023,5217194501,564.5,82.54,0,1,0,0,0,0,0,0,0,0,0,0,0
2003,0,442.5,80.42,0,1,0,0,0,0,0,0,0,0,0,0,0
2004,0,452.6,80.63,0,1,0,0,0,0,0,0,0,0,0,0,0
2005,0,465.1,80.76,0,1,0,0,0,0,0,0,0,0,0,0,0
2006,0,473.7,80.92,0,1,0,0,0,0,0,0,0,0,0,0,0
2007,0,498.4,81.07,0,1,0,0,0,0,0,0,0,0,0,0,0
2008,0,493.6,81.23,0,1,0,0,0,0,0,0,0,0,0,0,0
2009,0,505.5,81.49,0,1,0,0,0,0,0,0,0,0,0,0,0
2010,0,503.3,81.82,0,1,0,0,0,0,0,0,0,0,0,0,0
2011,0,516.1,82.15,0,1,0,0,0,0,0,0,0,0,0,0,0
2012,0,522.5,82.36,0,1,0,0,0,0,0,0,0,0,0,0,0
2013,0,524.6,82.47,0,1,0,0,0,0,0,0,0,0,0,0,0
2014,0,518.4,82.59,0,1,0,0,0,0,0,0,0,0,0,0,0
2015,0,528.2,82.61,0,1,0,0,0,0,0,0,0,0,0,0,0
2016,0,527.3,82.54,0,1,0,0,0,0,0,0,0,0,0,0,0
2017,0,518.7,82.34,0,1,0,0,0,0,0,0,0,0,0,0,0
2018,0,541.9,82.21,0,1,0,0,0,0,0,0,0,0,0,0,0
2019,0,554.0,82.36,0,1,0,0,0,0,0,0,0,0,0,0,0
2020,5431345294,514.4,82.39,0,1,0,0,0,0,0,0,0,0,0,0,0
2021,6197047192,548.2,82.43,0,1,0,0,0,0,0,0,0,0,0,0,0
2022,1471058045,556.4,82.46,0,1,0,0,0,0,0,0,0,0,0,0,0
2023,0,564.5,82.54,0,1,0,0,0,0,0,0,0,0,0,0,0
2003,23115339794,442.5,80.42,0,1,0,0,0,0,0,0,0,0,0,0,0
2004,23664817635,452.6,80.63,0,1,0,0,0,0,0,0,0,0,0,0,0
2005,25169280385,465.1,80.76,0,1,0,0,0,0,0,0,0,0,0,0,0
2006,26234974297,473.7,80.92,0,1,0,0,0,0,0,0,0,0,0,0,0
2007,28223495632,498.4,81.07,0,1,0,0,0,0,0,0,0,0,0,0,0
2008,30135861739,493.6,81.23,0,1,0,0,0,0,0,0,0,0,0,0,0
2009,31492938985,505.5,81.49,0,1,0,0,0,0,0,0,0,0,0,0,0
2010,33014810455,503.3,81.82,0,1,0,0,0,0,0,0,0,0,0,0,0
2011,34195643831,516.1,82.15,0,1,0,0,0,0,0,0,0,0,0,0,0
2012,36461064485,522.5,82.36,0,1,0,0,0,0,0,0,0,0,0,0,0
2013,37277821263,524.6,82.47,0,1,0,0,0,0,0,0,0,0,0,0,0
2014,38551305953,518.4,82.59,0,1,0,0,0,0,0,0,0,0,0,0,0
2015,39958741612,528.2,82.61,0,1,0,0,0,0,0,0,0,0,0,0,0
2016,41712784329,527.3,82.54,0,1,0,0,0,0,0,0,0,0,0,0,0
2017,43234607790,518.7,82.34,0,1,0,0,0,0,0,0,0,0,0,0,0
2018,45087933233,541.9,82.21,0,1,0,0,0,0,0,0,0,0,0,0,0
2019,47848261631,554.0,82.36,0,1,0,0,0,0,0,0,0,0,0,0,0
2020,55419470136,514.4,82.39,0,1,0,0,0,0,0,0,0,0,0,0,0
2021,60604680108,548.2,82.43,0,1,0,0,0,0,0,0,0,0,0,0,0
2022,63163107284,556.4,82.46,0,1,0,0,0,0,0,0,0,0,0,0,0
2023,67007845299,564.5,82.54,0,1,0,0,0,0,0,0,0,0,0,0,0
2003,64793972,325.7,76.89,0,0,0,0,0,0,0,0,0,0,0,0,1
2004,69030091,330.8,77.07,0,0,0,0,0,0,0,0,0,0,0,0,1
2005,75899758,344.8,77.46,0,0,0,0,0,0,0,0,0,0,0,0,1
2006,93002547,294.4,76.95,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,93908063,337.9,76.76,0,0,0,0,0,0,0,0,0,0,0,0,1
2008,98236331,287.1,76.76,0,0,0,0,0,0,0,0,0,0,0,0,1
2009,107307928,429.8,76.86,0,0,0,0,0,0,0,0,0,0,0,0,1
2010,132512875,419.1,77.25,0,0,0,0,0,0,0,0,0,0,0,0,1
2011,138591381,424.1,77.99,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,145793655,387.3,78.46,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,165955298,384.0,78.61,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,175751443,364.0,78.53,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,186174226,451.3,78.56,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,195218416,441.0,78.68,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,203803410,417.4,78.76,0,0,0,0,0,0,0,0,0,0,0,0,1
2018,208776162,457.9,78.8,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,222699254,424.9,78.91,0,0,0,0,0,0,0,0,0,0,0,0,1
2020,225808295,393.3,79.01,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,241499105,302.6,79.1,0,0,0,0,0,0,0,0,0,0,0,0,1
2022,255282129,289.9,79.17,0,0,0,0,0,0,0,0,0,0,0,0,1
2023,255449976,290.6,79.22,0,0,0,0,0,0,0,0,0,0,0,0,1
2003,31744379,325.7,76.89,0,0,0,0,0,0,0,0,0,0,0,0,1
2004,35705193,330.8,77.07,0,0,0,0,0,0,0,0,0,0,0,0,1
2005,37684662,344.8,77.46,0,0,0,0,0,0,0,0,0,0,0,0,1
2006,43208382,294.4,76.95,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,40992356,337.9,76.76,0,0,0,0,0,0,0,0,0,0,0,0,1
2008,45496773,287.1,76.76,0,0,0,0,0,0,0,0,0,0,0,0,1
2009,50405851,429.8,76.86,0,0,0,0,0,0,0,0,0,0,0,0,1
2010,58272002,419.1,77.25,0,0,0,0,0,0,0,0,0,0,0,0,1
2011,60776674,424.1,77.99,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,65849249,387.3,78.46,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,70582525,384.0,78.61,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,76233380,364.0,78.53,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,80423551,451.3,78.56,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,88274519,441.0,78.68,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,92389304,417.4,78.76,0,0,0,0,0,0,0,0,0,0,0,0,1
2018,95607063,457.9,78.8,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,103686841,424.9,78.91,0,0,0,0,0,0,0,0,0,0,0,0,1
2020,106422677,393.3,79.01,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,114011278,302.6,79.1,0,0,0,0,0,0,0,0,0,0,0,0,1
2022,123811928,289.9,79.17,0,0,0,0,0,0,0,0,0,0,0,0,1
2023,122924220,290.6,79.22,0,0,0,0,0,0,0,0,0,0,0,0,1
2003,4861505,325.7,76.89,0,0,0,0,0,0,0,0,0,0,0,0,1
2004,5060443,330.8,77.07,0,0,0,0,0,0,0,0,0,0,0,0,1
2005,6163572,344.8,77.46,0,0,0,0,0,0,0,0,0,0,0,0,1
2006,7241016,294.4,76.95,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,6953679,337.9,76.76,0,0,0,0,0,0,0,0,0,0,0,0,1
2008,7272544,287.1,76.76,0,0,0,0,0,0,0,0,0,0,0,0,1
2009,9129438,429.8,76.86,0,0,0,0,0,0,0,0,0,0,0,0,1
2010,10468607,419.1,77.25,0,0,0,0,0,0,0,0,0,0,0,0,1
2011,10483353,424.1,77.99,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,10276568,387.3,78.46,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,10464140,384.0,78.61,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,10632670,364.0,78.53,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,11023573,451.3,78.56,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,10141222,441.0,78.68,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,10050363,417.4,78.76,0,0,0,0,0,0,0,0,0,0,0,0,1
2018,10669660,457.9,78.8,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,11815442,424.9,78.91,0,0,0,0,0,0,0,0,0,0,0,0,1
2020,11964703,393.3,79.01,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,15302396,302.6,79.1,0,0,0,0,0,0,0,0,0,0,0,0,1
2022,17296592,289.9,79.17,0,0,0,0,0,0,0,0,0,0,0,0,1
2023,26796770,290.6,79.22,0,0,0,0,0,0,0,0,0,0,0,0,1
2003,14137173,325.7,76.89,0,0,0,0,0,0,0,0,0,0,0,0,1
2004,15622346,330.8,77.07,0,0,0,0,0,0,0,0,0,0,0,0,1
2005,17249465,344.8,77.46,0,0,0,0,0,0,0,0,0,0,0,0,1
2006,18637850,294.4,76.95,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,19030603,337.9,76.76,0,0,0,0,0,0,0,0,0,0,0,0,1
2008,20067852,287.1,76.76,0,0,0,0,0,0,0,0,0,0,0,0,1
2009,20961777,429.8,76.86,0,0,0,0,0,0,0,0,0,0,0,0,1
2010,20853195,419.1,77.25,0,0,0,0,0,0,0,0,0,0,0,0,1
2011,22621375,424.1,77.99,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,23185294,387.3,78.46,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,21163405,384.0,78.61,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,21301030,364.0,78.53,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,27331905,451.3,78.56,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,26316504,441.0,78.68,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,26113252,417.4,78.76,0,0,0,0,0,0,0,0,0,0,0,0,1
2018,28792226,457.9,78.8,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,29621717,424.9,78.91,0,0,0,0,0,0,0,0,0,0,0,0,1
2020,29645345,393.3,79.01,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,32800474,302.6,79.1,0,0,0,0,0,0,0,0,0,0,0,0,1
2022,37366529,289.9,79.17,0,0,0,0,0,0,0,0,0,0,0,0,1
2023,32654452,290.6,79.22,0,0,0,0,0,0,0,0,0,0,0,0,1
2003,45961047,325.7,76.89,0,0,0,0,0,0,0,0,0,0,0,0,1
2004,47129471,330.8,77.07,0,0,0,0,0,0,0,0,0,0,0,0,1
2005,50021186,344.8,77.46,0,0,0,0,0,0,0,0,0,0,0,0,1
2006,56524168,294.4,76.95,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,65265472,337.9,76.76,0,0,0,0,0,0,0,0,0,0,0,0,1
2008,75129516,287.1,76.76,0,0,0,0,0,0,0,0,0,0,0,0,1
2009,96274274,429.8,76.86,0,0,0,0,0,0,0,0,0,0,0,0,1
2010,82676604,419.1,77.25,0,0,0,0,0,0,0,0,0,0,0,0,1
2011,79057571,424.1,77.99,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,78249756,387.3,78.46,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,80895127,384.0,78.61,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,73628042,364.0,78.53,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,74517208,451.3,78.56,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,95569709,441.0,78.68,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,106996634,417.4,78.76,0,0,0,0,0,0,0,0,0,0,0,0,1
2018,103680419,457.9,78.8,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,105577751,424.9,78.91,0,0,0,0,0,0,0,0,0,0,0,0,1
2020,115665887,393.3,79.01,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,121767378,302.6,79.1,0,0,0,0,0,0,0,0,0,0,0,0,1
2022,147195928,289.9,79.17,0,0,0,0,0,0,0,0,0,0,0,0,1
2023,140389351,290.6,79.22,0,0,0,0,0,0,0,0,0,0,0,0,1
2003,8051488,325.7,76.89,0,0,0,0,0,0,0,0,0,0,0,0,1
2004,7821521,330.8,77.07,0,0,0,0,0,0,0,0,0,0,0,0,1
2005,12784898,344.8,77.46,0,0,0,0,0,0,0,0,0,0,0,0,1
2006,14874985,294.4,76.95,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,15490584,337.9,76.76,0,0,0,0,0,0,0,0,0,0,0,0,1
2008,17574560,287.1,76.76,0,0,0,0,0,0,0,0,0,0,0,0,1
2009,15229510,429.8,76.86,0,0,0,0,0,0,0,0,0,0,0,0,1
2010,12879831,419.1,77.25,0,0,0,0,0,0,0,0,0,0,0,0,1
2011,13347017,424.1,77.99,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,14876925,387.3,78.46,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,18139599,384.0,78.61,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,17746801,364.0,78.53,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,18063676,451.3,78.56,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,18747794,441.0,78.68,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,20299397,417.4,78.76,0,0,0,0,0,0,0,0,0,0,0,0,1
2018,23561453,457.9,78.8,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,27883919,424.9,78.91,0,0,0,0,0,0,0,0,0,0,0,0,1
2020,32997931,393.3,79.01,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,42229167,302.6,79.1,0,0,0,0,0,0,0,0,0,0,0,0,1
2022,52494228,289.9,79.17,0,0,0,0,0,0,0,0,0,0,0,0,1
2023,54316719,290.6,79.22,0,0,0,0,0,0,0,0,0,0,0,0,1
2003,25930189,325.7,76.89,0,0,0,0,0,0,0,0,0,0,0,0,1
2004,28298844,330.8,77.07,0,0,0,0,0,0,0,0,0,0,0,0,1
2005,31140568,344.8,77.46,0,0,0,0,0,0,0,0,0,0,0,0,1
2006,32757654,294.4,76.95,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,38774357,337.9,76.76,0,0,0,0,0,0,0,0,0,0,0,0,1
2008,42620908,287.1,76.76,0,0,0,0,0,0,0,0,0,0,0,0,1
2009,48788038,429.8,76.86,0,0,0,0,0,0,0,0,0,0,0,0,1
2010,55736191,419.1,77.25,0,0,0,0,0,0,0,0,0,0,0,0,1
2011,59100779,424.1,77.99,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,63626128,387.3,78.46,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,60645366,384.0,78.61,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,63055216,364.0,78.53,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,66207661,451.3,78.56,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,68134000,441.0,78.68,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,73729703,417.4,78.76,0,0,0,0,0,0,0,0,0,0,0,0,1
2018,77672680,457.9,78.8,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,80904395,424.9,78.91,0,0,0,0,0,0,0,0,0,0,0,0,1
2020,83796785,393.3,79.01,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,91696505,302.6,79.1,0,0,0,0,0,0,0,0,0,0,0,0,1
2022,102111853,289.9,79.17,0,0,0,0,0,0,0,0,0,0,0,0,1
2023,102621424,290.6,79.22,0,0,0,0,0,0,0,0,0,0,0,0,1
2003,0,325.7,76.89,0,0,0,0,0,0,0,0,0,0,0,0,1
2004,0,330.8,77.07,0,0,0,0,0,0,0,0,0,0,0,0,1
2005,0,344.8,77.46,0,0,0,0,0,0,0,0,0,0,0,0,1
2006,0,294.4,76.95,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,0,337.9,76.76,0,0,0,0,0,0,0,0,0,0,0,0,1
2008,0,287.1,76.76,0,0,0,0,0,0,0,0,0,0,0,0,1
2009,0,429.8,76.86,0,0,0,0,0,0,0,0,0,0,0,0,1
2010,0,419.1,77.25,0,0,0,0,0,0,0,0,0,0,0,0,1
2011,0,424.1,77.99,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,0,387.3,78.46,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,0,384.0,78.61,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,0,364.0,78.53,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,0,451.3,78.56,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,0,441.0,78.68,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,0,417.4,78.76,0,0,0,0,0,0,0,0,0,0,0,0,1
2018,0,457.9,78.8,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,0,424.9,78.91,0,0,0,0,0,0,0,0,0,0,0,0,1
2020,81647970,393.3,79.01,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,91478843,302.6,79.1,0,0,0,0,0,0,0,0,0,0,0,0,1
2022,21538806,289.9,79.17,0,0,0,0,0,0,0,0,0,0,0,0,1
2023,0,290.6,79.22,0,0,0,0,0,0,0,0,0,0,0,0,1
2003,227848222,325.7,76.89,0,0,0,0,0,0,0,0,0,0,0,0,1
2004,245310881,330.8,77.07,0,0,0,0,0,0,0,0,0,0,0,0,1
2005,271425878,344.8,77.46,0,0,0,0,0,0,0,0,0,0,0,0,1
2006,313119963,294.4,76.95,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,326871949,337.9,76.76,0,0,0,0,0,0,0,0,0,0,0,0,1
2008,354247707,287.1,76.76,0,0,0,0,0,0,0,0,0,0,0,0,1
2009,411109004,429.8,76.86,0,0,0,0,0,0,0,0,0,0,0,0,1
2010,435647426,419.1,77.25,0,0,0,0,0,0,0,0,0,0,0,0,1
2011,464455392,424.1,77.99,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,489875871,387.3,78.46,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,512186264,384.0,78.61,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,526484115,364.0,78.53,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,568854327,451.3,78.56,0,0,0,0,0,0,0,0,0,0,0,0,1
2016,696835139,441.0,78.68,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,785083291,417.4,78.76,0,0,0,0,0,0,0,0,0,0,0,0,1
2018,753002889,457.9,78.8,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,758838126,424.9,78.91,0,0,0,0,0,0,0,0,0,0,0,0,1
2020,855353151,393.3,79.01,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,917543406,302.6,79.1,0,0,0,0,0,0,0,0,0,0,0,0,1
2022,940769763,289.9,79.17,0,0,0,0,0,0,0,0,0,0,0,0,1
2023,916883815,290.6,79.22,0,0,0,0,0,0,0,0,0,0,0,0,1
2003,180334133,273.7,75.58,0,0,0,0,0,1,0,0,0,0,0,0,0
2004,206283204,285.8,75.96,0,0,0,0,0,1,0,0,0,0,0,0,0
2005,217527403,276.5,76.88,0,0,0,0,0,1,0,0,0,0,0,0,0
2006,241050655,231.6,77.8,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,275292891,311.1,77.32,0,0,0,0,0,1,0,0,0,0,0,0,0
2008,283705992,242.0,76.44,0,0,0,0,0,1,0,0,0,0,0,0,0
2009,291864156,289.5,76.61,0,0,0,0,0,1,0,0,0,0,0,0,0
2010,317475216,300.3,76.77,0,0,0,0,0,1,0,0,0,0,0,0,0
2011,342082128,310.4,77.59,0,0,0,0,0,1,0,0,0,0,0,0,0
2012,385592541,332.4,77.91,0,0,0,0,0,1,0,0,0,0,0,0,0
2013,416244662,308.4,77.82,0,0,0,0,0,1,0,0,0,0,0,0,0
2014,420227744,376.3,77.65,0,0,0,0,0,1,0,0,0,0,0,0,0
2015,438312672,327.7,77.65,0,0,0,0,0,1,0,0,0,0,0,0,0
2016,457345459,392.2,77.21,0,0,0,0,0,1,0,0,0,0,0,0,0
2017,452123520,414.3,77.11,0,0,0,0,0,1,0,0,0,0,0,0,0
2018,482646647,381.7,76.93,0,0,0,0,0,1,0,0,0,0,0,0,0
2019,577372817,438.8,77.37,0,0,0,0,0,1,0,0,0,0,0,0,0
2020,604014716,337.0,77.0,0,0,0,0,0,1,0,0,0,0,0,0,0
2021,624162078,370.1,77.34,0,0,0,0,0,1,0,0,0,0,0,0,0
2022,663817154,360.7,77.5,0,0,0,0,0,1,0,0,0,0,0,0,0
2023,675381661,365.8,77.67,0,0,0,0,0,1,0,0,0,0,0,0,0
2003,60816564,273.7,75.58,0,0,0,0,0,1,0,0,0,0,0,0,0
2004,68793313,285.8,75.96,0,0,0,0,0,1,0,0,0,0,0,0,0
2005,72008122,276.5,76.88,0,0,0,0,0,1,0,0,0,0,0,0,0
2006,75492503,231.6,77.8,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,81164891,311.1,77.32,0,0,0,0,0,1,0,0,0,0,0,0,0
2008,85938513,242.0,76.44,0,0,0,0,0,1,0,0,0,0,0,0,0
2009,92872673,289.5,76.61,0,0,0,0,0,1,0,0,0,0,0,0,0
2010,52285023,300.3,76.77,0,0,0,0,0,1,0,0,0,0,0,0,0
2011,37568538,310.4,77.59,0,0,0,0,0,1,0,0,0,0,0,0,0
2012,33834200,332.4,77.91,0,0,0,0,0,1,0,0,0,0,0,0,0
2013,32446701,308.4,77.82,0,0,0,0,0,1,0,0,0,0,0,0,0
2014,36251802,376.3,77.65,0,0,0,0,0,1,0,0,0,0,0,0,0
2015,37945368,327.7,77.65,0,0,0,0,0,1,0,0,0,0,0,0,0
2016,39592938,392.2,77.21,0,0,0,0,0,1,0,0,0,0,0,0,0
2017,37412901,414.3,77.11,0,0,0,0,0,1,0,0,0,0,0,0,0
2018,36470934,381.7,76.93,0,0,0,0,0,1,0,0,0,0,0,0,0
2019,32425191,438.8,77.37,0,0,0,0,0,1,0,0,0,0,0,0,0
2020,40553279,337.0,77.0,0,0,0,0,0,1,0,0,0,0,0,0,0
2021,39692115,370.1,77.34,0,0,0,0,0,1,0,0,0,0,0,0,0
2022,57685572,360.7,77.5,0,0,0,0,0,1,0,0,0,0,0,0,0
2023,68489928,365.8,77.67,0,0,0,0,0,1,0,0,0,0,0,0,0
2003,9822871,273.7,75.58,0,0,0,0,0,1,0,0,0,0,0,0,0
2004,9566308,285.8,75.96,0,0,0,0,0,1,0,0,0,0,0,0,0
2005,11085570,276.5,76.88,0,0,0,0,0,1,0,0,0,0,0,0,0
2006,12488606,231.6,77.8,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,12470976,311.1,77.32,0,0,0,0,0,1,0,0,0,0,0,0,0
2008,13192106,242.0,76.44,0,0,0,0,0,1,0,0,0,0,0,0,0
2009,16125792,289.5,76.61,0,0,0,0,0,1,0,0,0,0,0,0,0
2010,17523170,300.3,76.77,0,0,0,0,0,1,0,0,0,0,0,0,0
2011,16812397,310.4,77.59,0,0,0,0,0,1,0,0,0,0,0,0,0
2012,15538497,332.4,77.91,0,0,0,0,0,1,0,0,0,0,0,0,0
2013,15973834,308.4,77.82,0,0,0,0,0,1,0,0,0,0,0,0,0
2014,16498959,376.3,77.65,0,0,0,0,0,1,0,0,0,0,0,0,0
